College Name,Classification Instructional Program En Title,Head Count - Fall
Algonquin College,Aboriginal studies,34
Algonquin College,Accounting,109
Algonquin College,Accounting and business/management,314
Algonquin College,"Administrative assistant and secretarial science, general",50
Algonquin College,Advertising,171
Algonquin College,Aesthetician/esthetician and skin care specialist,57
Algonquin College,Airframe mechanics and aircraft maintenance technology/technician,37
Algonquin College,"Animation, interactive technology, video graphics and special effects",77
Algonquin College,Architectural engineering technology/technician,N/A
Algonquin College,Architectural technology/technician,266
Algonquin College,"Art/art studies, general",N/A
Algonquin College,Auditing,N/A
Algonquin College,Automobile/automotive mechanics technology/technician,46
Algonquin College,Aviation/airway management and operations,93
Algonquin College,Baking and pastry arts/baker/pastry chef,75
Algonquin College,Bartending/bartender,42
Algonquin College,Behavioural sciences,63
Algonquin College,Biology technician/biotechnology laboratory technician,152
Algonquin College,"Business administration and management, general",764
Algonquin College,"Business administration, management and operations, other",N/A
Algonquin College,"Business/commerce, general",74
Algonquin College,Cabinetmaking and millwork,70
Algonquin College,Carpentry/carpenter,102
Algonquin College,Child care provider/assistant,487
Algonquin College,Civil engineering technology/technician,264
Algonquin College,"Communication and media studies, other",120
Algonquin College,"Computer and information sciences and support services, other",362
Algonquin College,"Computer programming/programmer, general",238
Algonquin College,Computer science,262
Algonquin College,Computer technology/computer systems technology,255
Algonquin College,Construction engineering,N/A
Algonquin College,Construction engineering technology/technician,44
Algonquin College,Construction management,N/A
Algonquin College,"Construction trades, general",62
Algonquin College,"Criminal justice and corrections, other",149
Algonquin College,Criminal justice/police science,776
Algonquin College,Culinary arts/chef training,98
Algonquin College,Dental assisting/assistant,26
Algonquin College,Dental hygiene/hygienist,143
Algonquin College,Digital communication and media/multimedia,11
Algonquin College,"Drama and dramatics/theatre arts, general",55
Algonquin College,"Electrical, electronic and communications engineering technology/technician",279
Algonquin College,Emergency medical technology/technician (EMT paramedic),126
Algonquin College,English Technical and Business Writing,130
Algonquin College,Environmental engineering technology/environmental technology,36
Algonquin College,Environmental studies,56
Algonquin College,Executive assistant/executive secretary,49
Algonquin College,Family and community services,250
Algonquin College,Financial planning and services,N/A
Algonquin College,"Fine/studio arts, general",39
Algonquin College,Fire science/firefighting,58
Algonquin College,Foodservice systems administration/management,13
Algonquin College,Forest technology/technician,43
Algonquin College,General office occupations and clerical services,131
Algonquin College,General studies,51
Algonquin College,Geographic information science and cartography,27
Algonquin College,Graphic design,225
Algonquin College,Hair styling/stylist and hair design,55
Algonquin College,Health aide,133
Algonquin College,"Health and medical administrative services, other",114
Algonquin College,"Health and physical education/fitness, general",414
Algonquin College,"Health professions and related clinical sciences, other",89
Algonquin College,"Health/medical preparatory programs, other",278
Algonquin College,"Heating, air conditioning, ventilation and refrigeration maintenance technology/technician",180
Algonquin College,Home furnishings and equipment installers,63
Algonquin College,"Hospitality administration/management, general",87
Algonquin College,Hotel/motel administration/management,164
Algonquin College,"Human resources management/personnel administration, general",53
Algonquin College,Information technology,17
Algonquin College,Interior design,150
Algonquin College,International business/trade/commerce,57
Algonquin College,"Journalism, general",82
Algonquin College,Landscaping and groundskeeping,57
Algonquin College,Legal assistant/paralegal,110
Algonquin College,"Legal professions and studies, other",210
Algonquin College,Library and archives assisting,72
Algonquin College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",322
Algonquin College,Lineworker,65
Algonquin College,"Logistics, materials, and supply chain management",121
Algonquin College,Marketing research,14
Algonquin College,"Marketing/marketing management, general",367
Algonquin College,Masonry/mason,15
Algonquin College,Massage therapy/therapeutic massage,158
Algonquin College,Mechanical engineering/mechanical technology/technician,170
Algonquin College,Medical radiologic technology/science ¿ radiation therapist,93
Algonquin College,Museology/museum studies,127
Algonquin College,Music Management and Merchandising,78
Algonquin College,"Music, other",79
Algonquin College,"Natural resources management and policy, general",15
Algonquin College,Network and system administration/administrator,29
Algonquin College,Not Codeable,1035
Algonquin College,"Nursing/Registered Nurse (RN, ASN, BScN, MScN)",11
Algonquin College,Organizational behaviour studies,11
Algonquin College,"Parks, recreation and leisure studies",109
Algonquin College,Photography,125
Algonquin College,Playwriting and screenwriting,29
Algonquin College,Pre-nursing studies,163
Algonquin College,Pre-technology education/pre-industrial arts programs CAN,37
Algonquin College,Public relations/image management,104
Algonquin College,Radiation protection/health physics technician,21
Algonquin College,Radio and television,211
Algonquin College,Respiratory care therapy/therapist,68
Algonquin College,"Restaurant, culinary and catering management/manager",190
Algonquin College,Robotics technology/technician,85
Algonquin College,Small business administration/management,332
Algonquin College,"Social work, general",244
Algonquin College,"Social work, other",110
Algonquin College,Sport and fitness administration/management,42
Algonquin College,Teaching English as a second or foreign language/ESL language instructor,20
Algonquin College,Telecommunications technology/technician,39
Algonquin College,Tool and die technology/technician,N/A
Algonquin College,Tourism and travel services management,76
Algonquin College,Tourism and travel services marketing operations,174
Algonquin College,Veterinary/animal health technology/technician and veterinary assistant,149
Algonquin College,Water quality and wastewater treatment management and recycling technology/technician,31
Algonquin College,"Web page, digital/multimedia and information resources design",272
Algonquin College,Welding technology/welder,59
Algonquin College,Youth services/administration,310
Cambrian College,Baking and pastry arts/baker/pastry chef,N/A
Cambrian College,"Business/commerce, general",N/A
Cambrian College,Dental assisting/assistant,N/A
Cambrian College,Diagnostic medical sonography/sonographer and ultrasound technician,N/A
Cambrian College,Electrician,N/A
Cambrian College,Fire science/firefighting,N/A
Cambrian College,General studies,N/A
Cambrian College,"Health/medical preparatory programs, other",N/A
Cambrian College,Hotel/motel administration/management,N/A
Cambrian College,"Human resources management/personnel administration, general",N/A
Cambrian College,Industrial mechanics and maintenance technology,N/A
Cambrian College,Instructional program not reported,N/A
Cambrian College,Lineworker,N/A
Cambrian College,Medical radiologic technology/science ¿ radiation therapist,N/A
Cambrian College,Mining technology/technician,N/A
Cambrian College,"Natural resources management and policy, other",N/A
Cambrian College,Not Codeable,3340
Cambrian College,Stationary energy sources installer and operator CAN,N/A
Cambrian College,Youth services/administration,N/A
Canadore College,Aboriginal studies,30
Canadore College,Accounting,38
Canadore College,Accounting and business/management,12
Canadore College,"Administrative assistant and secretarial science, general",25
Canadore College,Advertising,24
Canadore College,Airframe mechanics and aircraft maintenance technology/technician,140
Canadore College,"Alternative and complementary medical support services, other",68
Canadore College,Automobile/automotive mechanics technology/technician,17
Canadore College,Avionics maintenance technology/technician,25
Canadore College,Biology technician/biotechnology laboratory technician,N/A
Canadore College,Biotechnology,36
Canadore College,"Business administration and management, general",N/A
Canadore College,"Business/commerce, general",69
Canadore College,Carpentry/carpenter,36
Canadore College,Child care provider/assistant,79
Canadore College,Cinematography and film/video production,59
Canadore College,Civil engineering technology/technician,46
Canadore College,Computer software technology/technician,13
Canadore College,"Criminal justice and corrections, other",78
Canadore College,Criminal justice/police science,120
Canadore College,Culinary arts/chef training,24
Canadore College,Dental hygiene/hygienist,54
Canadore College,"Drama and dramatics/theatre arts, general",30
Canadore College,Electrician,46
Canadore College,General office occupations and clerical services,N/A
Canadore College,General studies,49
Canadore College,Graphic design,62
Canadore College,Health aide,64
Canadore College,"Health and physical education/fitness, general",62
Canadore College,"Health/medical preparatory programs, other",89
Canadore College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",198
Canadore College,Machine tool technology/machinist,11
Canadore College,Mental health counselling/counsellor,123
Canadore College,"Natural resources conservation and research, other",56
Canadore College,"Natural resources management and policy, general",16
Canadore College,Occupational therapist assistant,18
Canadore College,"Parks, recreation and leisure studies",51
Canadore College,Plumbing technology/plumber,30
Canadore College,Public relations/image management,27
Canadore College,Radio and television,26
Canadore College,Radio and television broadcasting technology/technician,41
Canadore College,Resort management,N/A
Canadore College,Respiratory care therapy/therapist,72
Canadore College,"Restaurant, culinary and catering management/manager",48
Canadore College,"Social work, general",138
Canadore College,Therapeutic recreation/recreational therapy,104
Canadore College,Welding technology/welder,29
Centennial College,Accounting,23
Centennial College,Accounting and business/management,348
Centennial College,Accounting technology/technician and bookkeeping,15
Centennial College,Advertising,116
Centennial College,Aesthetician/esthetician and skin care specialist,44
Centennial College,Airframe mechanics and aircraft maintenance technology/technician,201
Centennial College,"Animation, interactive technology, video graphics and special effects",31
Centennial College,Architectural technology/technician,172
Centennial College,Autobody/collision and repair technology/technician,79
Centennial College,Automobile/automotive mechanics technology/technician,266
Centennial College,Avionics maintenance technology/technician,83
Centennial College,Baking and pastry arts/baker/pastry chef,20
Centennial College,Biology technician/biotechnology laboratory technician,160
Centennial College,Biomedical technology/technician,107
Centennial College,"Business administration and management, general",141
Centennial College,"Business administration, management and operations, other",N/A
Centennial College,"Business/commerce, general",40
Centennial College,Business/corporate communications,67
Centennial College,Child care provider/assistant,386
Centennial College,Child development,26
Centennial College,Clinical/medical laboratory technician,72
Centennial College,"Computer and information sciences and support services, general, other",14
Centennial College,"Computer and information sciences and support services, other",25
Centennial College,"Computer engineering technology/technician, general",N/A
Centennial College,Computer installation and repair technology/technician,16
Centennial College,Computer software technology/technician,213
Centennial College,Computer systems networking and telecommunications,166
Centennial College,"Criminal justice and corrections, other",219
Centennial College,Criminal justice/police science,405
Centennial College,Customer service management,12
Centennial College,Digital communication and media/multimedia,12
Centennial College,"Electrical, electronic and communications engineering technology/technician",72
Centennial College,Emergency medical technology/technician (EMT paramedic),80
Centennial College,Energy management and systems technology/technician,34
Centennial College,English as a second language CAN,107
Centennial College,Executive assistant/executive secretary,44
Centennial College,Family and community services,49
Centennial College,Financial planning and services,N/A
Centennial College,"Fine/studio arts, general",43
Centennial College,Fire science/firefighting,27
Centennial College,Foodservice systems administration/management,108
Centennial College,General office occupations and clerical services,23
Centennial College,General studies,56
Centennial College,Graphic design,47
Centennial College,Health aide,49
Centennial College,"Health/medical preparatory programs, other",N/A
Centennial College,"Hospitality administration/management, general",103
Centennial College,Hotel/motel administration/management,127
Centennial College,"Human resources management/personnel administration, general",172
Centennial College,Institutional food workers,53
Centennial College,International business/trade/commerce,54
Centennial College,"Journalism, general",154
Centennial College,Legal administrative assistant/secretary,39
Centennial College,"Legal professions and studies, other",147
Centennial College,"Legal support services, other",28
Centennial College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",610
Centennial College,"Marketing/marketing management, general",135
Centennial College,Massage therapy/therapeutic massage,62
Centennial College,Mechanical engineering/mechanical technology/technician,105
Centennial College,Medical informatics,33
Centennial College,Medical office management/administration,150
Centennial College,Motorcycle maintenance and repair technology/technician,30
Centennial College,"Natural resources conservation and research, other",85
Centennial College,Network and system administration/administrator,35
Centennial College,Not Codeable,1008
Centennial College,"Nursing/Registered Nurse (RN, ASN, BScN, MScN)",112
Centennial College,Occupational health and industrial hygiene,46
Centennial College,Occupational therapist assistant,76
Centennial College,Operations management and supervision,77
Centennial College,"Parks, recreation and leisure studies",65
Centennial College,Pharmacy technician/assistant,155
Centennial College,Publishing,49
Centennial College,Radio and television,65
Centennial College,Radio and television broadcasting technology/technician,211
Centennial College,"Restaurant, culinary and catering management/manager",N/A
Centennial College,Robotics technology/technician,110
Centennial College,"Sales, distribution and marketing operations, general",N/A
Centennial College,"Social work, general",262
Centennial College,Tourism and travel services management,17
Centennial College,"Visual and performing arts, other",49
Centennial College,Youth services/administration,326
Collège Boréal,Accounting and business/management,28
Collège Boréal,"Administrative assistant and secretarial science, general",12
Collège Boréal,Aesthetician/esthetician and skin care specialist,11
Collège Boréal,"Animation, interactive technology, video graphics and special effects",N/A
Collège Boréal,Automobile/automotive mechanics technology/technician,N/A
Collège Boréal,"Business/commerce, general",49
Collège Boréal,Carpentry/carpenter,10
Collège Boréal,Child care provider/assistant,119
Collège Boréal,"Computer engineering technology/technician, general",20
Collège Boréal,Computer technology/computer systems technology,N/A
Collège Boréal,Construction engineering technology/technician,35
Collège Boréal,"Cooking and related culinary arts, general",11
Collège Boréal,Criminal justice/police science,35
Collège Boréal,Dental assisting/assistant,N/A
Collège Boréal,Dental hygiene/hygienist,37
Collège Boréal,"Design and visual communications, general",10
Collège Boréal,Diagnostic medical sonography/sonographer and ultrasound technician,N/A
Collège Boréal,"Electrical, electronic and communications engineering technology/technician",61
Collège Boréal,Electrician,51
Collège Boréal,Emergency medical technology/technician (EMT paramedic),25
Collège Boréal,"Engineering technologies and engineering-related fields, other",N/A
Collège Boréal,Forest technology/technician,N/A
Collège Boréal,"Funeral service and mortuary science, general",N/A
Collège Boréal,General office occupations and clerical services,30
Collège Boréal,General studies,N/A
Collège Boréal,Hair styling/stylist and hair design,11
Collège Boréal,Health aide,19
Collège Boréal,"Health and physical education/fitness, general",16
Collège Boréal,"Health/medical preparatory programs, other",46
Collège Boréal,Heavy equipment maintenance technology/technician,12
Collège Boréal,Industrial mechanics and maintenance technology,51
Collège Boréal,Legal assistant/paralegal,26
Collège Boréal,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",151
Collège Boréal,Machine tool technology/machinist,N/A
Collège Boréal,Massage therapy/therapeutic massage,23
Collège Boréal,Medical radiologic technology/science ¿ radiation therapist,75
Collège Boréal,Not Codeable,N/A
Collège Boréal,Pharmacy technician/assistant,17
Collège Boréal,"Physical science technologies/technicians, other",16
Collège Boréal,Physical therapy technician/assistant,17
Collège Boréal,"Restaurant, culinary and catering management/manager",N/A
Collège Boréal,"Social work, general",111
Collège Boréal,"Special education and teaching, general",62
Collège Boréal,Technical theatre/theatre design and technology,13
Collège Boréal,Veterinary/animal health technology/technician and veterinary assistant,97
Collège Boréal,Welding technology/welder,19
Collège Boréal,"Wildlife, fish and wildlands science and management",25
Conestoga College,Accounting and business/management,311
Conestoga College,Advertising,65
Conestoga College,Airline/commercial/professional pilot and flight crew,40
Conestoga College,Architectural engineering technology/technician,82
Conestoga College,Audiology/audiologist,54
Conestoga College,Automobile/automotive mechanics technology/technician,25
Conestoga College,Biology technician/biotechnology laboratory technician,105
Conestoga College,Broadcast journalism,49
Conestoga College,"Business administration and management, general",191
Conestoga College,"Business/commerce, general",225
Conestoga College,Child care provider/assistant,275
Conestoga College,Civil engineering technology/technician,109
Conestoga College,"Computer programming/programmer, general",19
Conestoga College,Computer software technology/technician,76
Conestoga College,Computer systems analysis/analyst,102
Conestoga College,Construction engineering technology/technician,168
Conestoga College,"Construction trades, other",91
Conestoga College,Criminal justice/police science,391
Conestoga College,Culinary arts/chef training,25
Conestoga College,Dietetic technician (DTR),45
Conestoga College,"Electrical and electronic engineering technologies/technicians, other",28
Conestoga College,"Electrical, electronic and communications engineering technology/technician",147
Conestoga College,Electrician,44
Conestoga College,Emergency medical technology/technician (EMT paramedic),75
Conestoga College,Environmental engineering technology/environmental technology,36
Conestoga College,Financial planning and services,85
Conestoga College,Fire science/firefighting,88
Conestoga College,General office occupations and clerical services,29
Conestoga College,General studies,85
Conestoga College,Graphic design,92
Conestoga College,Health aide,90
Conestoga College,"Hospitality administration/management, general",40
Conestoga College,"Human resources management/personnel administration, general",95
Conestoga College,"Human services, general",97
Conestoga College,"Industrial production technologies/technicians, other",49
Conestoga College,Insurance,41
Conestoga College,International business/trade/commerce,90
Conestoga College,"Journalism, general",55
Conestoga College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",528
Conestoga College,"Logistics, materials, and supply chain management",57
Conestoga College,"Marketing/marketing management, general",84
Conestoga College,Medical office management/administration,113
Conestoga College,Not Codeable,3681
Conestoga College,Occupational therapist assistant,73
Conestoga College,"Parks, recreation and leisure studies",137
Conestoga College,Radio and television,157
Conestoga College,Respiratory care therapy/therapist,100
Conestoga College,"Restaurant, culinary and catering management/manager",49
Conestoga College,Restaurant/food services management,41
Conestoga College,Robotics technology/technician,78
Conestoga College,"Social work, general",107
Conestoga College,Teaching English as a second or foreign language/ESL language instructor,16
Conestoga College,Welding technology/welder,39
Conestoga College,"Woodworking, general",55
Confederation College,Accounting and business/management,105
Confederation College,"Administrative assistant and secretarial science, general",24
Confederation College,Aeronautical/aerospace engineering technology/technician,31
Confederation College,Airframe mechanics and aircraft maintenance technology/technician,52
Confederation College,Automobile/automotive mechanics technology/technician,13
Confederation College,Aviation/airway management and operations,81
Confederation College,"Business, management, marketing and related support services, other",21
Confederation College,Child care provider/assistant,118
Confederation College,Cinematography and film/video production,71
Confederation College,Civil engineering technology/technician,82
Confederation College,Criminal justice/police science,109
Confederation College,Dental assisting/assistant,13
Confederation College,"Electrical, electronic and communications engineering technology/technician",23
Confederation College,Emergency medical technology/technician (EMT paramedic),51
Confederation College,Family and community services,53
Confederation College,Fire science/firefighting,17
Confederation College,General studies,129
Confederation College,Health aide,49
Confederation College,"Health/medical preparatory programs, other",93
Confederation College,Heavy equipment maintenance technology/technician,25
Confederation College,"Human development and family studies, general",62
Confederation College,"Human resources management/personnel administration, general",119
Confederation College,International business/trade/commerce,N/A
Confederation College,"Licensed Practical/Vocational Nurse Training (LPN, LVN, Cert., Dipl., AAS)",172
Confederation College,"Marketing/marketing management, general",63
Confederation College,Mechanical engineering/mechanical technology/technician,25
Confederation College,Medical radiologic technology/science ¿ radiation therapist,44
Confederation College,"Natural resources management and policy, other",56
Confederation College,Not Codeable,685
Confederation College,Pre-technology education/pre-industrial arts programs CAN,71
Confederation College,Radio and television,38
Confederation College,"Restaurant, culinary and catering management/manager",49
Confederation College,"Social work, general",120
Confederation College,Stationary energy sources installer and operator CAN,12
Confederation College,"Teaching assistants/aides, general",N/A
Confederation College,"Web page, digital/multimedia and information resources design",84
Confederation College,Welding technology/welder,73
Confederation College,Youth services/administration,105
Durham College,Not Codeable,9162
Fanshawe College,Accounting and business/management,393
Fanshawe College,Anesthesiologist assistant,N/A
Fanshawe College,"Animation, interactive technology, video graphics and special effects",22
Fanshawe College,"Applied horticulture/horticulture operations, general",71
Fanshawe College,Architectural technology/technician,245
Fanshawe College,Automobile/automotive mechanics technology/technician,53
Fanshawe College,Avionics maintenance technology/technician,80
Fanshawe College,Behavioural sciences,68
Fanshawe College,Biotechnology,74
Fanshawe College,Broadcast journalism,99
Fanshawe College,"Business administration and management, general",31
Fanshawe College,"Business/commerce, general",428
Fanshawe College,Business/corporate communications,55
Fanshawe College,Carpentry/carpenter,120
Fanshawe College,Child care provider/assistant,502
Fanshawe College,Cinematography and film/video production,38
Fanshawe College,Civil engineering technology/technician,186
Fanshawe College,Computer systems analysis/analyst,340
Fanshawe College,Computer technology/computer systems technology,272
Fanshawe College,Construction engineering technology/technician,199
Fanshawe College,Criminal justice/police science,570
Fanshawe College,Culinary arts/chef training,57
Fanshawe College,Dental assisting/assistant,48
Fanshawe College,Dental hygiene/hygienist,88
Fanshawe College,Diesel mechanics technology/technician,52
Fanshawe College,"Drama and dramatics/theatre arts, general",48
Fanshawe College,Early childhood education and teaching,63
Fanshawe College,"Electrical, electronic and communications engineering technology/technician",220
Fanshawe College,Electrician,143
Fanshawe College,Electromechanical technology/electromechanical engineering technology,36
Fanshawe College,Emergency medical technology/technician (EMT paramedic),84
Fanshawe College,"Engineering, other",28
Fanshawe College,English as a second language CAN,44
Fanshawe College,Entrepreneurship/entrepreneurial studies,51
Fanshawe College,Environmental engineering technology/environmental technology,83
Fanshawe College,Executive assistant/executive secretary,54
Fanshawe College,Family and community services,239
Fanshawe College,Fashion merchandising,112
Fanshawe College,Fashion/apparel design,82
Fanshawe College,"Finance, general",115
Fanshawe College,Financial planning and services,16
Fanshawe College,"Fine/studio arts, general",128
Fanshawe College,"Food service, waiter/waitress and dining room management/manager",47
Fanshawe College,Foodservice systems administration/management,61
Fanshawe College,General office occupations and clerical services,26
Fanshawe College,General studies,811
