#AGGR_TYPE_CD,OCCPTN_GRP_CD,OCCPTN_SGRP_CD,ACAD_GRAD_YEAR,REPORTING_ACAD_YR,GENDER,GRAD_COUNT,STUD_SAT_COUNT,UNEMP_RATE,EMP_RATE,EMP_FT_RATE,EMP_PT_RATE,JSD_RATE_FT_RLTD_1,JSD_RATE_FT_RLTD_2,JSD_RATE_FT_RLTD_3,JSD_RATE_FT_RLTD_4,JSD_RATE_FT_RLTD_5,ANN_SLRY_EMP_FT_RATE,ANN_CLRY_EMP_FT_RLTD_RATE,GRAD_SAT_RATE_AGG,IN_LF,STUD_SAT_RATE,GRADUATION_RATE,EMP_FT_REL_RATE
Cl,T,T14,2010-2011,2011-2012,T,358,626,17.5,82.5,72.5,7.5,17.5,37.5,67.5,82.5,97.5,37500,37500,67.5,82.5,67.5,N/A,57.5
Cl,T,T14,2011-2012,2012-2013,T,361,648,17.5,82.5,72.5,2.5,12.5,42.5,67.5,87.5,97.5,32500,37500,77.5,82.5,72.5,67.5,47.5
Cl,T,T12,2012-2013,2013-2014,T,400,542,17.5,82.5,77.5,7.5,N/A,N/A,N/A,N/A,N/A,32500,37500,87.5,87.5,77.5,62.5,62.5
Cl,T,T12,2010-2011,2011-2012,T,428,671,12.5,87.5,82.5,7.5,27.5,47.5,72.5,87.5,97.5,32500,32500,82.5,92.5,82.5,N/A,57.5
Cl,T,T12,2013-2014,2014-2015,T,434,749,12.5,87.5,77.5,7.5,N/A,N/A,N/A,N/A,N/A,32500,32500,82.5,87.5,77.5,62.5,62.5
Cl,T,T14,2014-2015,2015-2016,T,453,820,17.5,82.5,67.5,7.5,7.5,17.5,57.5,77.5,97.5,32500,32500,72.5,82.5,67.5,72.5,37.5
Cl,T,T12,2014-2015,2015-2016,T,466,689,12.5,87.5,77.5,7.5,32.5,57.5,77.5,92.5,97.5,37500,37500,82.5,82.5,77.5,57.5,62.5
Cl,T,T12,2011-2012,2012-2013,T,473,597,12.5,87.5,82.5,7.5,27.5,57.5,77.5,87.5,97.5,32500,32500,82.5,87.5,82.5,57.5,62.5
Cl,T,T13,2012-2013,2013-2014,T,476,553,17.5,82.5,72.5,2.5,N/A,N/A,N/A,N/A,N/A,37500,37500,82.5,82.5,77.5,67.5,57.5
Cl,A,A02,2010-2011,2011-2012,T,581,1330,12.5,87.5,52.5,27.5,27.5,42.5,57.5,82.5,97.5,22500,27500,77.5,72.5,77.5,N/A,17.5
Cl,A,A02,2013-2014,2014-2015,T,590,1380,12.5,87.5,52.5,32.5,N/A,N/A,N/A,N/A,N/A,27500,32500,77.5,77.5,72.5,67.5,22.5
Cl,A,A02,2011-2012,2012-2013,T,599,1222,12.5,87.5,57.5,27.5,27.5,42.5,57.5,77.5,97.5,22500,27500,77.5,72.5,77.5,62.5,17.5
Cl,H,H02,2011-2012,2012-2013,T,600,916,7.5,92.5,67.5,22.5,32.5,57.5,77.5,87.5,97.5,27500,27500,82.5,82.5,77.5,77.5,57.5
Cl,H,H02,2010-2011,2011-2012,T,609,920,12.5,87.5,72.5,12.5,37.5,57.5,77.5,87.5,97.5,27500,27500,87.5,82.5,77.5,N/A,57.5
Cl,T,T13,2013-2014,2014-2015,T,609,686,12.5,87.5,77.5,7.5,N/A,N/A,N/A,N/A,N/A,37500,37500,82.5,77.5,77.5,62.5,57.5
Cl,A,A02,2012-2013,2013-2014,T,622,1246,17.5,82.5,47.5,32.5,N/A,N/A,N/A,N/A,N/A,27500,32500,82.5,77.5,72.5,62.5,17.5
Cl,A,A14,2011-2012,2012-2013,T,635,971,12.5,87.5,52.5,32.5,47.5,57.5,77.5,87.5,97.5,32500,37500,87.5,82.5,87.5,67.5,47.5
Cl,A,A16,2010-2011,2011-2012,T,644,821,12.5,87.5,72.5,12.5,32.5,47.5,67.5,87.5,97.5,37500,37500,82.5,82.5,77.5,N/A,57.5
Cl,A,A02,2014-2015,2015-2016,T,657,1409,12.5,87.5,47.5,32.5,37.5,47.5,52.5,82.5,97.5,27500,27500,77.5,77.5,72.5,62.5,17.5
Cl,T,T19,2014-2015,2015-2016,T,666,653,7.5,92.5,72.5,12.5,27.5,52.5,72.5,92.5,97.5,32500,37500,77.5,82.5,77.5,77.5,32.5
Cl,A,A14,2010-2011,2011-2012,T,681,946,12.5,87.5,52.5,32.5,42.5,52.5,72.5,92.5,97.5,32500,32500,87.5,82.5,82.5,N/A,42.5
Cl,A,A14,2012-2013,2013-2014,T,688,1028,17.5,82.5,47.5,27.5,N/A,N/A,N/A,N/A,N/A,32500,37500,87.5,82.5,82.5,72.5,42.5
Cl,H,H02,2014-2015,2015-2016,T,699,919,12.5,87.5,62.5,17.5,37.5,52.5,77.5,92.5,97.5,27500,27500,82.5,82.5,82.5,82.5,52.5
Cl,H,H02,2012-2013,2013-2014,T,703,924,12.5,87.5,67.5,17.5,N/A,N/A,N/A,N/A,N/A,27500,27500,87.5,82.5,77.5,77.5,52.5
Cl,H,H02,2013-2014,2014-2015,T,707,921,12.5,87.5,67.5,17.5,N/A,N/A,N/A,N/A,N/A,27500,27500,87.5,77.5,82.5,77.5,52.5
Cl,T,T19,2013-2014,2014-2015,T,715,578,7.5,92.5,77.5,12.5,N/A,N/A,N/A,N/A,N/A,37500,37500,77.5,77.5,77.5,77.5,37.5
Cl,T,T01,2010-2011,2011-2012,T,718,1708,17.5,82.5,77.5,2.5,27.5,57.5,72.5,92.5,97.5,37500,37500,77.5,77.5,72.5,N/A,62.5
Cl,A,A14,2013-2014,2014-2015,T,748,1054,17.5,82.5,47.5,27.5,N/A,N/A,N/A,N/A,N/A,32500,37500,87.5,82.5,82.5,77.5,42.5
Cl,T,T01,2014-2015,2015-2016,T,754,1762,17.5,82.5,67.5,7.5,22.5,47.5,72.5,92.5,97.5,37500,37500,82.5,77.5,72.5,57.5,52.5
Cl,T,T13,2014-2015,2015-2016,T,767,700,12.5,87.5,77.5,2.5,32.5,47.5,72.5,87.5,97.5,37500,37500,82.5,77.5,77.5,72.5,52.5
Cl,T,T19,2012-2013,2013-2014,T,768,693,12.5,87.5,67.5,12.5,N/A,N/A,N/A,N/A,N/A,37500,37500,82.5,77.5,77.5,82.5,22.5
Cl,T,T19,2011-2012,2012-2013,T,774,651,12.5,87.5,77.5,12.5,22.5,47.5,67.5,87.5,97.5,37500,37500,72.5,82.5,77.5,82.5,27.5
Cl,A,A16,2011-2012,2012-2013,T,788,807,12.5,87.5,77.5,12.5,27.5,42.5,62.5,87.5,97.5,32500,37500,77.5,87.5,77.5,87.5,57.5
Cl,A,A16,2012-2013,2013-2014,T,793,858,17.5,82.5,67.5,12.5,N/A,N/A,N/A,N/A,N/A,32500,37500,77.5,87.5,72.5,87.5,52.5
Cl,T,T19,2010-2011,2011-2012,T,794,641,12.5,87.5,77.5,12.5,27.5,42.5,72.5,92.5,97.5,32500,37500,77.5,87.5,77.5,N/A,22.5
Cl,T,T01,2012-2013,2013-2014,T,810,1526,12.5,87.5,77.5,7.5,N/A,N/A,N/A,N/A,N/A,37500,37500,72.5,77.5,77.5,57.5,57.5
Cl,T,T01,2013-2014,2014-2015,T,813,1695,17.5,82.5,72.5,2.5,N/A,N/A,N/A,N/A,N/A,37500,42500,77.5,77.5,72.5,62.5,62.5
Cl,A,A14,2014-2015,2015-2016,T,818,1101,17.5,82.5,47.5,27.5,47.5,57.5,72.5,92.5,97.5,37500,37500,87.5,82.5,82.5,72.5,42.5
Cl,T,T01,2011-2012,2012-2013,T,830,1540,17.5,82.5,72.5,7.5,32.5,57.5,77.5,92.5,97.5,37500,37500,77.5,72.5,72.5,57.5,62.5
Cl,T,T02,2010-2011,2011-2012,T,853,893,17.5,82.5,77.5,2.5,32.5,52.5,67.5,87.5,97.5,32500,32500,77.5,82.5,82.5,N/A,57.5
Cl,B,B02,2010-2011,2011-2012,T,875,1179,22.5,77.5,52.5,22.5,22.5,42.5,67.5,92.5,97.5,32500,32500,77.5,87.5,82.5,N/A,37.5
Cl,A,A16,2013-2014,2014-2015,T,876,994,12.5,87.5,72.5,12.5,N/A,N/A,N/A,N/A,N/A,37500,37500,77.5,87.5,72.5,87.5,52.5
Cl,T,T02,2011-2012,2012-2013,T,888,1086,12.5,87.5,77.5,2.5,37.5,52.5,72.5,87.5,97.5,32500,32500,82.5,82.5,77.5,57.5,62.5
Cl,T,T02,2012-2013,2013-2014,T,893,1222,12.5,87.5,77.5,2.5,N/A,N/A,N/A,N/A,N/A,32500,32500,82.5,82.5,77.5,62.5,62.5
Cl,T,T02,2013-2014,2014-2015,T,916,1194,12.5,87.5,82.5,2.5,N/A,N/A,N/A,N/A,N/A,37500,37500,82.5,82.5,77.5,57.5,67.5
Cl,B,B02,2011-2012,2012-2013,T,951,1175,22.5,77.5,52.5,22.5,27.5,42.5,67.5,87.5,97.5,32500,32500,77.5,87.5,82.5,67.5,32.5
Cl,A,A16,2014-2015,2015-2016,T,990,984,17.5,82.5,62.5,12.5,27.5,47.5,67.5,87.5,97.5,37500,37500,72.5,87.5,77.5,87.5,47.5
Cl,T,T02,2014-2015,2015-2016,T,1044,1554,12.5,87.5,72.5,7.5,32.5,47.5,72.5,87.5,97.5,32500,37500,82.5,82.5,77.5,62.5,57.5
Cl,B,B02,2012-2013,2013-2014,T,1048,1275,17.5,82.5,52.5,22.5,N/A,N/A,N/A,N/A,N/A,32500,32500,77.5,92.5,77.5,72.5,32.5
Cl,B,B01,2010-2011,2011-2012,T,1056,1896,22.5,77.5,67.5,7.5,27.5,47.5,67.5,87.5,97.5,37500,42500,77.5,87.5,72.5,N/A,57.5
Cl,H,H01,2011-2012,2012-2013,T,1058,1411,7.5,92.5,72.5,17.5,42.5,57.5,77.5,92.5,97.5,47500,52500,82.5,92.5,77.5,77.5,57.5
Cl,A,A05,2011-2012,2012-2013,T,1070,1336,22.5,77.5,47.5,27.5,27.5,42.5,62.5,92.5,97.5,27500,27500,77.5,42.5,77.5,62.5,17.5
Cl,H,H01,2010-2011,2011-2012,T,1073,1359,7.5,92.5,72.5,17.5,37.5,62.5,77.5,87.5,97.5,47500,47500,77.5,92.5,77.5,N/A,52.5
Cl,A,A05,2010-2011,2011-2012,T,1079,1296,22.5,77.5,52.5,22.5,27.5,47.5,57.5,92.5,97.5,27500,32500,82.5,42.5,77.5,N/A,17.5
Cl,B,B02,2014-2015,2015-2016,T,1079,1519,17.5,82.5,57.5,22.5,22.5,37.5,72.5,92.5,97.5,32500,32500,77.5,87.5,82.5,77.5,42.5
Cl,H,H01,2012-2013,2013-2014,T,1098,1390,12.5,87.5,67.5,17.5,N/A,N/A,N/A,N/A,N/A,42500,47500,77.5,92.5,77.5,67.5,47.5
Cl,H,H01,2014-2015,2015-2016,T,1098,1420,7.5,92.5,67.5,17.5,32.5,52.5,72.5,92.5,97.5,47500,52500,82.5,87.5,77.5,72.5,52.5
Cl,H,H01,2013-2014,2014-2015,T,1184,1314,7.5,92.5,67.5,17.5,N/A,N/A,N/A,N/A,N/A,47500,52500,82.5,92.5,82.5,72.5,52.5
Cl,B,B02,2013-2014,2014-2015,T,1118,1334,22.5,77.5,52.5,22.5,N/A,N/A,N/A,N/A,N/A,32500,32500,77.5,87.5,82.5,72.5,37.5
Cl,B,B01,2011-2012,2012-2013,T,1119,2171,22.5,77.5,67.5,7.5,27.5,47.5,72.5,92.5,97.5,37500,42500,77.5,87.5,72.5,57.5,57.5
Cl,A,A03,2010-2011,2011-2012,T,1136,1683,12.5,87.5,62.5,22.5,37.5,52.5,67.5,87.5,97.5,27500,27500,77.5,82.5,72.5,N/A,47.5
Cl,A,A03,2011-2012,2012-2013,T,1136,1667,12.5,87.5,62.5,22.5,37.5,57.5,77.5,87.5,97.5,22500,22500,77.5,82.5,77.5,62.5,47.5
Cl,A,A13,2010-2011,2011-2012,T,1138,2684,7.5,92.5,62.5,27.5,37.5,52.5,67.5,87.5,97.5,32500,32500,82.5,77.5,82.5,N/A,47.5
Cl,A,A05,2012-2013,2013-2014,T,1140,1306,17.5,82.5,47.5,27.5,N/A,N/A,N/A,N/A,N/A,27500,27500,82.5,42.5,77.5,62.5,17.5
Cl,B,B16,2010-2011,2011-2012,T,1141,1816,17.5,82.5,67.5,12.5,27.5,42.5,57.5,82.5,97.5,27500,27500,72.5,82.5,77.5,N/A,37.5
Cl,A,A03,2012-2013,2013-2014,T,1191,1675,12.5,87.5,57.5,22.5,N/A,N/A,N/A,N/A,N/A,27500,27500,77.5,87.5,72.5,62.5,42.5
Cl,T,T03,2010-2011,2011-2012,T,1193,1809,22.5,77.5,67.5,12.5,27.5,47.5,67.5,87.5,97.5,32500,37500,67.5,77.5,77.5,N/A,42.5
Cl,A,A05,2013-2014,2014-2015,T,1194,1281,22.5,77.5,42.5,32.5,N/A,N/A,N/A,N/A,N/A,27500,27500,77.5,42.5,77.5,62.5,17.5
Cl,A,A05,2014-2015,2015-2016,T,1195,1345,22.5,77.5,42.5,27.5,22.5,42.5,57.5,82.5,97.5,27500,32500,77.5,47.5,77.5,62.5,17.5
Cl,A,A13,2012-2013,2013-2014,T,1207,3089,7.5,92.5,57.5,27.5,N/A,N/A,N/A,N/A,N/A,32500,32500,82.5,77.5,77.5,67.5,42.5
Cl,A,A13,2011-2012,2012-2013,T,1213,3007,7.5,92.5,62.5,22.5,32.5,47.5,67.5,87.5,97.5,32500,32500,87.5,77.5,77.5,62.5,47.5
Cl,T,T11,2010-2011,2011-2012,T,1218,2054,27.5,72.5,62.5,7.5,32.5,52.5,72.5,92.5,97.5,37500,42500,72.5,72.5,77.5,N/A,42.5
Cl,A,A03,2013-2014,2014-2015,T,1223,1669,17.5,82.5,57.5,22.5,N/A,N/A,N/A,N/A,N/A,27500,27500,67.5,82.5,72.5,62.5,42.5
Cl,B,B16,2011-2012,2012-2013,T,1227,1840,17.5,82.5,62.5,17.5,32.5,47.5,62.5,82.5,97.5,27500,27500,72.5,82.5,77.5,62.5,37.5
Cl,T,T11,2011-2012,2012-2013,T,1268,1877,22.5,77.5,67.5,7.5,27.5,52.5,67.5,87.5,97.5,37500,42500,72.5,72.5,82.5,67.5,42.5
Cl,B,B15,2010-2011,2011-2012,T,1271,1930,22.5,77.5,67.5,12.5,22.5,42.5,67.5,82.5,97.5,32500,32500,72.5,82.5,72.5,N/A,47.5
Cl,T,T11,2012-2013,2013-2014,T,1271,1792,22.5,77.5,67.5,7.5,N/A,N/A,N/A,N/A,N/A,37500,42500,77.5,67.5,82.5,72.5,37.5
Cl,B,B16,2012-2013,2013-2014,T,1279,1644,17.5,82.5,62.5,17.5,N/A,N/A,N/A,N/A,N/A,27500,27500,72.5,87.5,77.5,62.5,37.5
Cl,B,B01,2012-2013,2013-2014,T,1281,2241,22.5,77.5,67.5,7.5,N/A,N/A,N/A,N/A,N/A,37500,42500,77.5,87.5,72.5,52.5,52.5
Cl,T,T11,2014-2015,2015-2016,T,1297,2024,17.5,82.5,62.5,7.5,27.5,52.5,72.5,87.5,97.5,37500,42500,77.5,72.5,82.5,67.5,42.5
Cl,T,T03,2011-2012,2012-2013,T,1304,2089,22.5,77.5,67.5,12.5,27.5,47.5,67.5,87.5,97.5,32500,37500,72.5,82.5,77.5,62.5,42.5
Cl,B,B04,2012-2013,2013-2014,T,1308,1145,22.5,77.5,57.5,17.5,N/A,N/A,N/A,N/A,N/A,27500,32500,77.5,77.5,82.5,72.5,37.5
Cl,A,A03,2014-2015,2015-2016,T,1344,1634,17.5,82.5,57.5,22.5,32.5,52.5,67.5,87.5,97.5,27500,27500,77.5,82.5,77.5,62.5,37.5
Cl,T,T11,2013-2014,2014-2015,T,1354,1914,17.5,82.5,67.5,12.5,N/A,N/A,N/A,N/A,N/A,37500,42500,77.5,72.5,82.5,72.5,42.5
Cl,B,B04,2010-2011,2011-2012,T,1360,1287,22.5,77.5,57.5,17.5,22.5,42.5,67.5,87.5,97.5,27500,32500,82.5,72.5,82.5,N/A,42.5
Cl,A,A13,2013-2014,2014-2015,T,1370,2864,7.5,92.5,62.5,27.5,N/A,N/A,N/A,N/A,N/A,32500,32500,87.5,77.5,77.5,67.5,47.5
Cl,B,B04,2014-2015,2015-2016,T,1377,1092,22.5,77.5,57.5,17.5,37.5,57.5,72.5,87.5,97.5,32500,32500,82.5,67.5,82.5,72.5,37.5
Cl,B,B04,2011-2012,2012-2013,T,1386,1320,22.5,77.5,57.5,17.5,22.5,37.5,62.5,87.5,97.5,27500,32500,77.5,72.5,82.5,72.5,37.5
Cl,B,B01,2013-2014,2014-2015,T,1401,2415,22.5,77.5,67.5,7.5,N/A,N/A,N/A,N/A,N/A,37500,42500,77.5,92.5,72.5,52.5,57.5
Cl,B,B15,2012-2013,2013-2014,T,1407,2186,22.5,77.5,62.5,12.5,N/A,N/A,N/A,N/A,N/A,32500,37500,72.5,82.5,72.5,67.5,42.5
Cl,T,T03,2012-2013,2013-2014,T,1409,2101,27.5,72.5,62.5,7.5,N/A,N/A,N/A,N/A,N/A,32500,37500,72.5,82.5,77.5,62.5,37.5
Cl,B,B15,2011-2012,2012-2013,T,1429,2083,22.5,77.5,62.5,12.5,32.5,52.5,72.5,87.5,97.5,32500,37500,72.5,77.5,72.5,62.5,47.5
Cl,A,A15,2011-2012,2012-2013,T,1438,2836,12.5,87.5,62.5,22.5,42.5,57.5,72.5,87.5,97.5,32500,32500,82.5,72.5,77.5,67.5,42.5
Cl,A,A15,2010-2011,2011-2012,T,1439,2495,12.5,87.5,57.5,27.5,37.5,52.5,67.5,87.5,97.5,32500,32500,77.5,72.5,77.5,N/A,37.5
Cl,B,B04,2013-2014,2014-2015,T,1448,1157,17.5,82.5,57.5,17.5,N/A,N/A,N/A,N/A,N/A,32500,32500,82.5,67.5,82.5,72.5,42.5
Cl,B,B01,2014-2015,2015-2016,T,1484,2856,22.5,77.5,67.5,7.5,22.5,47.5,67.5,87.5,97.5,42500,42500,77.5,87.5,72.5,57.5,52.5
Cl,T,T03,2014-2015,2015-2016,T,1527,2409,27.5,72.5,57.5,12.5,27.5,42.5,62.5,82.5,97.5,37500,37500,72.5,82.5,77.5,67.5,37.5
Cl,B,B16,2013-2014,2014-2015,T,1531,1704,17.5,82.5,62.5,17.5,N/A,N/A,N/A,N/A,N/A,27500,32500,67.5,82.5,77.5,67.5,32.5
Cl,T,T03,2013-2014,2014-2015,T,1536,2104,27.5,72.5,62.5,12.5,N/A,N/A,N/A,N/A,N/A,32500,37500,72.5,77.5,77.5,62.5,37.5
